bus;frequency;operator;osm_name;ref;carrier;v_nom;voltage;wkt_srid_4326;x;y;;;;
87;50;RWE;Station_Kusenhorst;;substation;380.0;380000;220000;SRID=4326;POINT(7.06030699176008_51.6964760130648);706.030.699.176;516.964.760.131;;
88;;RWE;Station_Gellep;;substation;220.0;220000;110000;SRID=4326;POINT(6.6746753206169_51.3249574728255);667.467.532.062;513.249.574.728;;
89;50;RWE;Station_Muendelheim;;substation;220.0;220000;110000;SRID=4326;POINT(6.72376714521247_51.3556543809247);672.376.714.521;513.556.543.809;;
90;50;RWE;Station_Roxel;;substation;380.0;380000;110000;SRID=4326;POINT(7.54571772261949_51.9703244223875);754.571.772.262;519.703.244.224;;
91;;RWE_AG;Erdgaskraftwerk_Emsland;;plant;380.0;;;SRID=4326;POINT(7.30561448538174_52.4801491895706);730.561.448.538;524.801.491.896;;
92;;;;;substation;380.0;380000;;SRID=4326;POINT(7.30433875539085_52.4824259958004);730.433.875.539;524.824.259.958;;
93;50;TenneT;Meppen;MEPP;substation;380.0;380000;110000;SRID=4326;POINT(7.27715391322869_52.7532425946802);727.715.391.323;527.532.425.947;;
94;50;Amprion;Wehrendorf;;substation;380.0;380000;220000;SRID=4326;POINT(8.30775689679575_52.3456356447783);83.077.568.968;523.456.356.448;;
95;50;Amprion;Station_Westerkappeln;;substation;380.0;380000;220000;SRID=4326;POINT(7.88957671235007_52.2773967624078);788.957.671.235;522.773.967.624;;
96;50;;Benteler_Stahlwerk;;substation;380.0;220000;;SRID=4326;POINT(7.31784994377907_52.4691114902799);731.784.994.378;524.691.114.903;;
97;50;ČEPS;Rozvodna_Pratice;;substation;380.0;400000;220000;SRID=4326;POINT(13.3352803846608_49.5896898612644);133.352.803.847;495.896.898.613;;
98;50;50Hertz_Transmission;Bentwisch_HGue;;substation;380.0;380000;;SRID=4326;POINT(12.2147735096776_54.1003234403618);122.147.735.097;541.003.234.404;;
99;50;Amprion;Umspannwerk_Uchtelfangen;;substation;380.0;380000;220000;SRID=4326;POINT(6.99647659179489_49.3754093063084);699.647.659.179;493.754.093.063;;
100;50;Amprion;_WestnetzStation_Niederstedem;;substation;380.0;380000;220000;SRID=4326;POINT(6.47473977006816_49.9224692993999);647.473.977.007;499.224.692.994;;
101;;50Hertz;Wessin;;substation;380.0;380000;;SRID=4326;POINT(11.6993926965362_53.5722744892702);116.993.926.965;535.722.744.893;;
102;50;50Hertz;EON_edis;Goerries;substation;380.0;380000;110000;SRID=4326;POINT(11.3706373688866_53.6009910848999);113.706.373.689;536.009.910.849;;
